User Name,Score(%),Attempt Date,User Email,Taken Time,What is your gender?,Male,Female,Other,How old are you?,"An object with a mass of 2 kg is lifted to a height of 10 meters. After being released, how much kinetic energy will the object have just before hitting the ground? (Assume g9.8m/s^2 and ignore air resistance)",196 J,98 J,19.6 J,20 J,How confident are you in your answers,Not at all confident,Slightly confident,Somewhat confident,Quite confident,Extremely confident,Which hormone is responsible for triggering ovulation during the menstrual cycle?,Progesterone,Luteinizing hormone (LH),Estrogen,Follicle-stimulating hormone (FSH),How confident are you in your answers.1,Not at all confident.1,Slightly confident.1,Somewhat confident.1,Quite confident.1,Extremely confident.1
Guest,14.2857142,11-6-2024 12:43:26 PM,,0:3:27,Incorrect,,Female,,28,Correct,,,,,Incorrect,Not at all confident,,,,,Correct,,Luteinizing hormone (LH),,,Incorrect,,Slightly confident,,,
Guest,14.2857142,11-6-2024 09:56:16 AM,,0:3:3,Incorrect,,Female,,25,Correct,196 J,,,,Incorrect,,,,Quite confident,,Incorrect,,,Estrogen,,Incorrect,,,Somewhat confident,,
Guest,14.2857142,11-6-2024 09:40:01 AM,,0:4:39,Incorrect,Male,,,26,Correct,,,,,Incorrect,Not at all confident,,,,,Correct,,Luteinizing hormone (LH),,,Incorrect,,,Somewhat confident,,
Guest,14.2857142,11-6-2024 09:25:58 AM,,0:3:7,Incorrect,Male,,,23,Incorrect,,98 J,,,Incorrect,,,Somewhat confident,,,Correct,,Luteinizing hormone (LH),,,Incorrect,,,,Quite confident,
Guest,28.5714285,11-6-2024 09:11:37 AM,,0:3:3,Incorrect,Male,,,22,Correct,196 J,,,,Incorrect,,,,,Extremely confident,Correct,,Luteinizing hormone (LH),,,Incorrect,,,,,Extremely confident
Guest,14.2857142,11-6-2024 08:58:58 AM,,0:4:4,Incorrect,Male,,,22,Correct,196 J,,,,Incorrect,,,,Quite confident,,Incorrect,,,,Follicle-stimulating hormone (FSH),Incorrect,,,,Quite confident,
Guest,0.0,10-30-2024 12:54:55 PM,,0:3:21,Incorrect,Male,,,24,Incorrect,,,19.6 J,,Incorrect,,,,,Extremely confident,Incorrect,,,Estrogen,,Incorrect,Not at all confident,,,,
Guest,14.2857142,10-30-2024 12:33:11 PM,,0:4:39,Incorrect,Male,,,27,Correct,196 J,,,,Incorrect,,,Somewhat confident,,,Incorrect,,,Estrogen,,Incorrect,,,,Quite confident,
Guest,14.2857142,10-30-2024 12:08:09 PM,,0:3:58,Incorrect,Male,,,26,Correct,196 J,,,,Incorrect,,,,Quite confident,,Incorrect,,,Estrogen,,Incorrect,Not at all confident,,,,
Guest,28.5714285,10-30-2024 11:25:22 AM,,0:1:42,Incorrect,,Female,,24,Correct,196 J,,,,Incorrect,,,,,Extremely confident,Correct,,Luteinizing hormone (LH),,,Incorrect,,,,,Extremely confident
